iter	RMSE
288	0.4918660251
289	0.4915345277
290	0.4913437031
291	0.4910197054
292	0.4908223143
293	0.4905028324
294	0.4901158443
295	0.489784864
296	0.4895133365
297	0.4894577332
298	0.4891569482
299	0.4889261878
300	0.4887169896
301	0.4884944965
302	0.488190088
303	0.4878669101
304	0.4876029634
305	0.4874577109
306	0.4871630718
307	0.4865985351
308	0.4862231019
309	0.4860529878
310	0.485502437
311	0.4852130256
312	0.4847433786
313	0.4840112266
314	0.483535538
315	0.4830851656
316	0.4825427077
317	0.4821633549
318	0.4820683686
319	0.4819023901
320	0.481717368
321	0.4813664554
322	0.4808433072
323	0.4808210277
324	0.4805058421
325	0.4800847967
326	0.4798868648
327	0.4796541266
328	0.4793176065
329	0.4790918855
330	0.4788952152
331	0.478522495
332	0.4781214361
333	0.4776463444
334	0.4772869952
335	0.4768469677
336	0.4767446257
337	0.4762218368
338	0.4761656098
339	0.4756820274
340	0.4753306512
341	0.4750103678
342	0.4747289121
343	0.4742690449
344	0.473846731
345	0.4733427817
346	0.4732664623
347	0.4731875422
348	0.4728857671
349	0.4725314447
350	0.4721694821
351	0.4717256949
352	0.4710255397
353	0.4708006503
354	0.470442667
355	0.4704215383
356	0.4702130959
357	0.4701450286
358	0.469727971
359	0.469613904
360	0.4694634423
361	0.4692127687
362	0.4689867858
363	0.4686477187
364	0.4682873915
365	0.4681886121
366	0.4679088766
367	0.467763176
368	0.4673989661
369	0.4671897117
370	0.4669824799
371	0.4667236143
372	0.4662948155
373	0.4658106073
374	0.46573956
375	0.4655200023
376	0.465391004
377	0.4650249053
378	0.464835389
379	0.4643849815
380	0.4642862842
381	0.4642073562
382	0.4641272666
383	0.4640082249
384	0.4635130413
385	0.463174397
386	0.4626899643
387	0.4624826008
388	0.4623593399
389	0.4623200075
390	0.4619143529
391	0.4616511734
392	0.4613587068
393	0.461201756
394	0.4609111654
395	0.4608698182
396	0.4607993812
397	0.4602551081
398	0.4600481667
399	0.4594637373
400	0.4594009323
401	0.4590317101
402	0.4589536451
403	0.4588720226
404	0.4583589097
405	0.4582107826
406	0.4581364698
407	0.4575922111
408	0.4575408214
409	0.4575099367
410	0.4574550318
411	0.4572826099
412	0.4572533104
413	0.4567065292
414	0.4559151325
415	0.4555345667
416	0.4549109501
417	0.4548648726
418	0.4547386948
419	0.4546657954
420	0.4546408781
421	0.454584886
422	0.4545364725
423	0.4542515521
424	0.454205789
425	0.4538250896
426	0.4537746705
427	0.4536696698
428	0.4530955622
429	0.4528690737
430	0.4528246281
431	0.4522757842
432	0.4522161637
433	0.4521144797
434	0.4520655627
435	0.4519703032
436	0.4519424808
437	0.451911172
438	0.4512620449
439	0.4509232846
440	0.4505718963
441	0.4505288839
442	0.4500352769
443	0.4499711438
444	0.4494974296
445	0.4494616783
446	0.449175968
447	0.4491275059
448	0.4490966779
449	0.4486580308
450	0.4486195371
451	0.4485817406
452	0.4485304833
453	0.4484950459
454	0.4481977362
455	0.4481671221
456	0.4476786602
457	0.4476484125
458	0.4476023553
459	0.4471190975
460	0.4466395777
461	0.4463551162
462	0.4458638388
463	0.4452623733
464	0.445231629
465	0.4448284445
466	0.4442128859
467	0.4438608972
468	0.4434188277
469	0.4433753041
470	0.4433259012
471	0.4432895732
472	0.4429106915
473	0.4428721628
474	0.4424156018
475	0.4421144906
476	0.4420746612
477	0.4413492272
478	0.4409070898
479	0.4408672643
480	0.4408125383
481	0.4401912503
482	0.4401598139
483	0.4398844509
484	0.4395408762
485	0.4389347901
486	0.4386334969
487	0.4386039101
488	0.4381777515
489	0.4375785767
490	0.4375480901
491	0.437509314
492	0.4371585944
493	0.436761634
494	0.4364030097
495	0.4357747795
496	0.4357445047
497	0.4357164823
498	0.4356842026
499	0.4351340896
500	0.4351062359
501	0.4345439116
502	0.4340255084
503	0.4334481875
504	0.4330820736
505	0.4328202488
506	0.4325697019
507	0.4325285142
508	0.4321293034
509	0.4320726601
510	0.4315964126
511	0.4314424497
512	0.4314010093
513	0.4313729815
514	0.430740254
515	0.4307030291
516	0.4301773485
517	0.4299201272
518	0.4296847156
519	0.4290718679
520	0.429033854
521	0.4286135521
522	0.4285866463
523	0.4279928032
524	0.4279575009
525	0.4279226886
526	0.4273162815
527	0.4269488605
528	0.4265340458
529	0.4265110524
530	0.4264871816
531	0.4260858
532	0.4260544037
533	0.4259956502
534	0.4255164052
535	0.4254886334
536	0.4254603686
537	0.4246831019
538	0.4242197808
539	0.4236169512
540	0.4231404297
541	0.4231166888
542	0.4228076538
543	0.4225839687
544	0.4225487141
545	0.4225265663
546	0.4220217915
547	0.4216502471
548	0.4212233938
549	0.4207930906
550	0.4204361854
551	0.4200732159
552	0.4195878595
553	0.4191297102
554	0.4187514862
555	0.4187293276
556	0.4183437416
557	0.4183241926
558	0.4182977721
559	0.4180082785
560	0.4179734966
561	0.4179531159
562	0.4175113099
